PA_30,AB_30,R_30,H_30,RBI_30,BB_30,SO_30,BA_30,OBP_30,SLG_30,OPS_30,Date,Team,PA_all,AB_all,R_all,H_all,RBI_all,BB_all,SO_all,BA_all,OBP_all,SLG_all,OPS_all
37.22222222222222,32.611111111111114,3.9444444444444446,7.444444444444445,3.7222222222222223,3.7777777777777777,8.5,0.22766666666666666,0.3039444444444444,0.3984444444444445,0.7022777777777779,2023-04-18,SDP,37.22222222222222,32.611111111111114,3.9444444444444446,7.444444444444445,3.7222222222222223,3.7777777777777777,8.5,0.22766666666666666,0.3039444444444444,0.3984444444444445,0.7022777777777779
37.10526315789474,32.473684210526315,3.789473684210526,7.2631578947368425,3.5789473684210527,3.736842105263158,8.736842105263158,0.22747368421052633,0.30421052631578943,0.39768421052631586,0.7017894736842106,2023-04-19,SDP,37.10526315789474,32.473684210526315,3.789473684210526,7.2631578947368425,3.5789473684210527,3.736842105263158,8.736842105263158,0.22747368421052633,0.30421052631578943,0.39768421052631586,0.7017894736842106
36.8,32.25,3.65,7.2,3.45,3.7,8.7,0.22725,0.30439999999999995,0.39695,0.7012500000000002,2023-04-20,SDP,36.8,32.25,3.65,7.2,3.45,3.7,8.7,0.22725,0.30439999999999995,0.39695,0.7012500000000002
36.857142857142854,32.333333333333336,3.8095238095238093,7.190476190476191,3.619047619047619,3.7142857142857144,8.714285714285714,0.227,0.30452380952380953,0.3964761904761905,0.7009047619047619,2023-04-21,SDP,36.857142857142854,32.333333333333336,3.8095238095238093,7.190476190476191,3.619047619047619,3.7142857142857144,8.714285714285714,0.227,0.30452380952380953,0.3964761904761905,0.7009047619047619
36.5,32.18181818181818,3.6363636363636362,6.954545454545454,3.4545454545454546,3.5454545454545454,8.909090909090908,0.22650000000000003,0.30422727272727274,0.39554545454545453,0.6996818181818182,2023-04-22,SDP,36.5,32.18181818181818,3.6363636363636362,6.954545454545454,3.4545454545454546,3.5454545454545454,8.909090909090908,0.22650000000000003,0.30422727272727274,0.39554545454545453,0.6996818181818182
36.56521739130435,32.17391304347826,3.6956521739130435,6.913043478260869,3.5217391304347827,3.652173913043478,9.0,0.226,0.304,0.3945652173913043,0.6984782608695653,2023-04-23,SDP,36.56521739130435,32.17391304347826,3.6956521739130435,6.913043478260869,3.5217391304347827,3.652173913043478,9.0,0.226,0.304,0.3945652173913043,0.6984782608695653
36.708333333333336,32.166666666666664,3.8333333333333335,6.958333333333333,3.6666666666666665,3.75,8.916666666666666,0.22558333333333333,0.30387499999999995,0.393875,0.6977083333333334,2023-04-25,SDP,36.708333333333336,32.166666666666664,3.8333333333333335,6.958333333333333,3.6666666666666665,3.75,8.916666666666666,0.22558333333333333,0.30387499999999995,0.393875,0.6977083333333334
36.72,32.12,3.68,6.88,3.52,3.8,8.96,0.22512000000000001,0.30376,0.39296,0.6966800000000001,2023-04-26,SDP,36.72,32.12,3.68,6.88,3.52,3.8,8.96,0.22512000000000001,0.30376,0.39296,0.6966800000000001
36.76923076923077,32.23076923076923,3.730769230769231,6.961538461538462,3.576923076923077,3.730769230769231,8.884615384615385,0.22476923076923078,0.30365384615384616,0.39207692307692305,0.6956923076923077,2023-04-27,SDP,36.76923076923077,32.23076923076923,3.730769230769231,6.961538461538462,3.576923076923077,3.730769230769231,8.884615384615385,0.22476923076923078,0.30365384615384616,0.39207692307692305,0.6956923076923077
36.77777777777778,32.148148148148145,3.6666666666666665,6.925925925925926,3.5185185185185186,3.7777777777777777,8.74074074074074,0.22440740740740742,0.3035555555555555,0.39118518518518514,0.6947037037037037,2023-04-29,SDP,36.77777777777778,32.148148148148145,3.6666666666666665,6.925925925925926,3.5185185185185186,3.7777777777777777,8.74074074074074,0.22440740740740742,0.3035555555555555,0.39118518518518514,0.6947037037037037
37.285714285714285,32.464285714285715,4.107142857142857,7.285714285714286,3.892857142857143,4.0,8.821428571428571,0.22439285714285714,0.3038571428571428,0.39132142857142854,0.6951428571428572,2023-04-30,SDP,37.285714285714285,32.464285714285715,4.107142857142857,7.285714285714286,3.892857142857143,4.0,8.821428571428571,0.22439285714285714,0.3038571428571428,0.39132142857142854,0.6951428571428572
37.206896551724135,32.48275862068966,4.172413793103448,7.379310344827586,3.9655172413793105,3.896551724137931,8.96551724137931,0.22448275862068967,0.30417241379310345,0.39158620689655166,0.6957586206896553,2023-05-01,SDP,37.206896551724135,32.48275862068966,4.172413793103448,7.379310344827586,3.9655172413793105,3.896551724137931,8.96551724137931,0.22448275862068967,0.30417241379310345,0.39158620689655166,0.6957586206896553
37.36666666666667,32.666666666666664,4.3,7.666666666666667,4.1,3.9,8.966666666666667,0.22483333333333336,0.3047,0.39209999999999995,0.6968000000000001,2023-05-02,SDP,37.36666666666667,32.666666666666664,4.3,7.666666666666667,4.1,3.9,8.966666666666667,0.22483333333333336,0.3047,0.39209999999999995,0.6968000000000001
37.46666666666667,32.766666666666666,4.266666666666667,7.633333333333334,4.066666666666666,3.966666666666667,8.9,0.22530000000000003,0.30743333333333334,0.3950333333333333,0.7024666666666667,2023-05-03,SDP,37.41935483870968,32.74193548387097,4.193548387096774,7.612903225806452,4.0,3.870967741935484,8.935483870967742,0.2250967741935484,0.3050967741935484,0.3923870967741935,0.697483870967742
37.7,32.9,4.466666666666667,7.8,4.266666666666667,4.133333333333334,8.9,0.2265666666666667,0.3105333333333334,0.39916666666666667,0.7097,2023-05-05,SDP,37.5,32.75,4.28125,7.6875,4.09375,3.96875,8.8125,0.22540625,0.30556249999999996,0.39271875,0.69828125
37.7,32.833333333333336,4.366666666666666,7.733333333333333,4.166666666666667,4.233333333333333,9.166666666666666,0.22653333333333336,0.3111,0.4008,0.7119333333333333,2023-05-06,SDP,37.60606060606061,32.666666666666664,4.303030303030303,7.696969696969697,4.121212121212121,4.181818181818182,8.909090909090908,0.22572727272727272,0.30615151515151506,0.39306060606060605,0.6992424242424242
37.9,33.0,4.3,7.766666666666667,4.1,4.266666666666667,9.333333333333334,0.22706666666666667,0.31229999999999997,0.4021666666666666,0.7145,2023-05-07,SDP,37.529411764705884,32.64705882352941,4.205882352941177,7.617647058823529,4.029411764705882,4.147058823529412,8.941176470588236,0.22594117647058823,0.3066470588235294,0.39323529411764707,0.6999117647058823
38.0,33.233333333333334,4.2,7.8,4.0,4.133333333333334,9.433333333333334,0.22733333333333333,0.31293333333333334,0.40166666666666667,0.7146333333333332,2023-05-09,SDP,37.57142857142857,32.8,4.142857142857143,7.6571428571428575,3.9714285714285715,4.057142857142857,8.942857142857143,0.22614285714285712,0.3070571428571428,0.3933142857142858,0.7004
38.06666666666667,33.166666666666664,4.2,7.8,4.0,4.233333333333333,9.533333333333333,0.22736666666666666,0.3135666666666666,0.4000000000000001,0.7136,2023-05-10,SDP,37.666666666666664,32.861111111111114,4.194444444444445,7.722222222222222,4.0,4.083333333333333,8.944444444444445,0.22638888888888886,0.30747222222222215,0.39341666666666675,0.7009166666666666
38.13333333333333,33.13333333333333,4.1,7.7,3.933333333333333,4.233333333333333,9.5,0.2274,0.3139,0.3983333333333334,0.7122666666666666,2023-05-11,SDP,37.78378378378378,32.83783783783784,4.162162162162162,7.621621621621622,3.972972972972973,4.162162162162162,9.0,0.22654054054054049,0.30783783783783775,0.3934054054054055,0.7012702702702702
38.0,33.166666666666664,4.033333333333333,7.666666666666667,3.8666666666666667,4.1,9.466666666666667,0.22746666666666662,0.31409999999999993,0.39736666666666676,0.7114999999999998,2023-05-12,SDP,37.73684210526316,32.8421052631579,4.131578947368421,7.578947368421052,3.9473684210526314,4.105263157894737,9.026315789473685,0.22665789473684206,0.308157894736842,0.393421052631579,0.7016052631578947
37.766666666666666,33.1,3.966666666666667,7.666666666666667,3.8666666666666667,3.966666666666667,9.333333333333334,0.2275333333333333,0.3141333333333333,0.39656666666666673,0.7107333333333332,2023-05-13,SDP,37.64102564102564,32.84615384615385,4.076923076923077,7.589743589743589,3.8974358974358974,4.0256410256410255,8.974358974358974,0.2267692307692307,0.3084102564102563,0.3934102564102565,0.7018461538461538
37.46666666666667,32.93333333333333,3.7,7.4,3.6,3.8666666666666667,9.266666666666667,0.22710000000000002,0.31373333333333325,0.3946666666666667,0.7084333333333332,2023-05-14,SDP,37.525,32.85,4.025,7.525,3.85,3.925,8.9,0.226825,0.308575,0.39335,0.7019499999999999
37.43333333333333,33.0,3.7,7.433333333333334,3.6,3.7666666666666666,9.133333333333333,0.227,0.3135,0.39363333333333345,0.7071666666666665,2023-05-15,SDP,37.41463414634146,32.78048780487805,3.926829268292683,7.414634146341464,3.7560975609756095,3.902439024390244,8.926829268292684,0.22680487804878052,0.30865853658536585,0.3931951219512195,0.7018780487804878
37.46666666666667,32.8,3.7,7.3,3.566666666666667,4.033333333333333,9.033333333333333,0.22676666666666667,0.3132999999999999,0.3924666666666668,0.7058333333333331,2023-05-16,SDP,37.45238095238095,32.666666666666664,3.9285714285714284,7.357142857142857,3.738095238095238,4.0476190476190474,8.857142857142858,0.22676190476190478,0.3087857142857143,0.3929523809523809,0.7017619047619047
37.4,32.8,3.7666666666666666,7.366666666666666,3.6,3.966666666666667,9.066666666666666,0.22666666666666666,0.3130666666666666,0.3915333333333333,0.7046666666666664,2023-05-17,SDP,37.41860465116279,32.627906976744185,3.9302325581395348,7.372093023255814,3.7209302325581395,4.046511627906977,8.837209302325581,0.22674418604651167,0.3089302325581395,0.39272093023255805,0.7016511627906976
