PA_30,R_30,H_30,HR_30,BB_30,SO_30,OBP_30,SLG_30,LOB_30,Date,Team,PA_all,R_all,H_all,HR_all,BB_all,SO_all,OBP_all,SLG_all,LOB_all
37.13333333333333,4.2,6.866666666666666,1.3,3.4,9.933333333333334,0.30310000000000004,0.3859,6.4,2023-05-12,MIN,37.36842105263158,4.2631578947368425,7.2894736842105265,1.236842105263158,3.3947368421052633,9.526315789473685,0.30752631578947376,0.38299999999999995,6.552631578947368
37.2,4.233333333333333,6.966666666666667,1.3,3.3666666666666667,9.766666666666667,0.3026666666666667,0.3865666666666666,6.433333333333334,2023-05-13,MIN,37.256410256410255,4.205128205128205,7.230769230769231,1.205128205128205,3.358974358974359,9.41025641025641,0.3073076923076924,0.38297435897435894,6.487179487179487
37.233333333333334,4.5,7.266666666666667,1.4666666666666666,3.4,9.633333333333333,0.3026333333333333,0.38849999999999985,6.3,2023-05-14,MIN,37.325,4.375,7.375,1.3,3.35,9.4,0.30717500000000003,0.383275,6.45
37.6,4.9,7.566666666666666,1.5,3.533333333333333,9.4,0.3028666666666666,0.39039999999999986,6.333333333333333,2023-05-15,MIN,37.5609756097561,4.658536585365853,7.634146341463414,1.3414634146341464,3.3902439024390243,9.365853658536585,0.3071951219512195,0.38387804878048776,6.463414634146342
38.233333333333334,5.066666666666666,7.666666666666667,1.5666666666666667,3.7,9.566666666666666,0.30299999999999994,0.39219999999999994,6.5,2023-05-16,MIN,38.0,4.738095238095238,7.761904761904762,1.3571428571428572,3.4761904761904763,9.5,0.30723809523809525,0.38445238095238093,6.666666666666667
38.2,4.866666666666666,7.6,1.4666666666666666,3.7,9.666666666666666,0.3030333333333333,0.39283333333333326,6.666666666666667,2023-05-17,MIN,38.093023255813954,4.744186046511628,7.837209302325581,1.3488372093023255,3.4651162790697674,9.55813953488372,0.3073488372093023,0.3850232558139534,6.744186046511628
38.266666666666666,4.833333333333333,7.633333333333334,1.4666666666666666,3.6666666666666665,9.733333333333333,0.303,0.39326666666666665,6.766666666666667,2023-05-19,MIN,38.06818181818182,4.704545454545454,7.840909090909091,1.3636363636363635,3.409090909090909,9.590909090909092,0.3074090909090909,0.38556818181818175,6.75
38.46666666666667,4.933333333333334,7.666666666666667,1.5,3.8,9.833333333333334,0.30319999999999997,0.3939333333333333,6.866666666666666,2023-05-20,MIN,38.044444444444444,4.688888888888889,7.8,1.3555555555555556,3.422222222222222,9.733333333333333,0.3074444444444444,0.3860222222222221,6.733333333333333
38.96666666666667,5.133333333333334,8.0,1.5333333333333334,3.966666666666667,9.733333333333333,0.30379999999999996,0.3952666666666667,7.166666666666667,2023-05-21,MIN,38.17391304347826,4.717391304347826,7.891304347826087,1.3478260869565217,3.4782608695652173,9.673913043478262,0.30754347826086953,0.3865434782608695,6.826086956521739
38.8,5.066666666666666,8.1,1.5333333333333334,3.966666666666667,9.633333333333333,0.3044666666666666,0.3968333333333334,7.133333333333334,2023-05-22,MIN,38.12765957446808,4.659574468085107,7.872340425531915,1.3404255319148937,3.4893617021276597,9.74468085106383,0.30763829787234037,0.38702127659574453,6.829787234042553
38.56666666666667,4.766666666666667,7.933333333333334,1.4666666666666666,3.966666666666667,9.966666666666667,0.3049999999999999,0.39793333333333347,7.2,2023-05-23,MIN,38.083333333333336,4.583333333333333,7.791666666666667,1.3333333333333333,3.5,9.875,0.30772916666666666,0.3874166666666667,6.854166666666667
38.4,4.7,7.8,1.5,3.933333333333333,10.0,0.30539999999999995,0.39886666666666676,7.1,2023-05-24,MIN,38.0,4.551020408163265,7.755102040816326,1.346938775510204,3.4489795918367347,9.89795918367347,0.30777551020408167,0.38777551020408163,6.795918367346939
38.53333333333333,4.866666666666666,7.833333333333333,1.5333333333333334,3.933333333333333,10.133333333333333,0.30583333333333335,0.3998666666666667,7.166666666666667,2023-05-26,MIN,37.98,4.6,7.74,1.36,3.44,9.92,0.30782000000000004,0.38816,6.78
38.53333333333333,4.766666666666667,7.7,1.5,4.1,10.166666666666666,0.3062666666666667,0.40063333333333334,7.266666666666667,2023-05-27,MIN,38.03921568627451,4.529411764705882,7.686274509803922,1.3333333333333333,3.549019607843137,9.96078431372549,0.3078823529411765,0.38843137254901966,6.901960784313726
38.7,4.966666666666667,7.866666666666666,1.5666666666666667,4.066666666666666,10.3,0.30670000000000003,0.4015666666666667,7.233333333333333,2023-05-28,MIN,38.09615384615385,4.615384615384615,7.8076923076923075,1.3846153846153846,3.519230769230769,9.98076923076923,0.3079807692307692,0.3888461538461539,6.923076923076923
38.56666666666667,4.766666666666667,7.7,1.5333333333333334,4.066666666666666,10.6,0.3069666666666667,0.4022,7.2,2023-05-29,MIN,38.0377358490566,4.528301886792453,7.754716981132075,1.3584905660377358,3.5660377358490565,10.056603773584905,0.3080754716981132,0.38916981132075473,6.943396226415095
